GEO_ID,Name
1600000US0203000,"Anchorage municipality, Alaska"
1600000US0427820,"Glendale city, Arizona"
1600000US0446000,"Mesa city, Arizona"
1600000US0455000,"Phoenix city, Arizona"
1600000US0477000,"Tucson city, Arizona"
1600000US0602000,"Anaheim city, California"
1600000US0603526,"Bakersfield city, California"
1600000US0613392,"Chula Vista city, California"
1600000US0627000,"Fresno city, California"
1600000US0629000,"Garden Grove city, California"
1600000US0630000,"Glendale city, California"
1600000US0640130,"Lancaster city, California"
1600000US0643000,"Long Beach city, California"
1600000US0644000,"Los Angeles city, California"
1600000US0648354,"Modesto city, California"
1600000US0653000,"Oakland city, California"
1600000US0654652,"Oxnard city, California"
1600000US0662000,"Riverside city, California"
1600000US0664000,"Sacramento city, California"
1600000US0664224,"Salinas city, California"
1600000US0665000,"San Bernardino city, California"
1600000US0666000,"San Diego city, California"
1600000US0667000,"San Francisco city, California"
1600000US0668000,"San Jose city, California"
1600000US0669000,"Santa Ana city, California"
1600000US0670098,"Santa Rosa city, California"
1600000US0675000,"Stockton city, California"
1600000US0681666,"Vallejo city, California"
1600000US0804000,"Aurora city, Colorado"
1600000US0816000,"Colorado Springs city, Colorado"
1600000US0820000,"Denver city, Colorado"
1600000US0843000,"Lakewood city, Colorado"
1600000US1150000,"Washington city, District of Columbia"
1600000US1235000,"Jacksonville city, Florida"
1600000US1263000,"St. Petersburg city, Florida"
1600000US1270600,"Tallahassee city, Florida"
1600000US1271000,"Tampa city, Florida"
1600000US1304000,"Atlanta city, Georgia"
1600000US1571550,"Urban Honolulu CDP, Hawaii"
1600000US1714000,"Chicago city, Illinois"
1600000US1825000,"Fort Wayne city, Indiana"
1600000US1836003,"Indianapolis city (balance), Indiana"
1600000US2079000,"Wichita city, Kansas"
1600000US2146027,"Lexington-Fayette urban county, Kentucky"
1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky"
1600000US2255000,"New Orleans city, Louisiana"
1600000US2404000,"Baltimore city, Maryland"
1600000US2507000,"Boston city, Massachusetts"
1600000US2622000,"Detroit city, Michigan"
1600000US2634000,"Grand Rapids city, Michigan"
1600000US2743000,"Minneapolis city, Minnesota"
1600000US2758000,"St. Paul city, Minnesota"
1600000US2938000,"Kansas City city, Missouri"
1600000US2965000,"St. Louis city, Missouri"
1600000US3128000,"Lincoln city, Nebraska"
1600000US3137000,"Omaha city, Nebraska"
1600000US3231900,"Henderson city, Nevada"
1600000US3240000,"Las Vegas city, Nevada"
1600000US3251800,"North Las Vegas city, Nevada"
1600000US3254600,"Paradise CDP, Nevada"
1600000US3260600,"Reno city, Nevada"
1600000US3271400,"Sunrise Manor CDP, Nevada"
1600000US3502000,"Albuquerque city, New Mexico"
1600000US3611000,"Buffalo city, New York"
1600000US3651000,"New York city, New York"
1600000US3663000,"Rochester city, New York"
1600000US3673000,"Syracuse city, New York"
1600000US3684000,"Yonkers city, New York"
1600000US3712000,"Charlotte city, North Carolina"
1600000US3719000,"Durham city, North Carolina"
1600000US3722920,"Fayetteville city, North Carolina"
1600000US3728000,"Greensboro city, North Carolina"
1600000US3755000,"Raleigh city, North Carolina"
1600000US3915000,"Cincinnati city, Ohio"
1600000US3916000,"Cleveland city, Ohio"
1600000US3918000,"Columbus city, Ohio"
1600000US4055000,"Oklahoma City city, Oklahoma"
1600000US4075000,"Tulsa city, Oklahoma"
1600000US4159000,"Portland city, Oregon"
1600000US4260000,"Philadelphia city, Pennsylvania"
1600000US4261000,"Pittsburgh city, Pennsylvania"
1600000US4748000,"Memphis city, Tennessee"
1600000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee"
1600000US4804000,"Arlington city, Texas"
1600000US4805000,"Austin city, Texas"
1600000US4817000,"Corpus Christi city, Texas"
1600000US4824000,"El Paso city, Texas"
1600000US4827000,"Fort Worth city, Texas"
1600000US4829000,"Garland city, Texas"
1600000US4830464,"Grand Prairie city, Texas"
1600000US4835000,"Houston city, Texas"
1600000US4837000,"Irving city, Texas"
1600000US4865000,"San Antonio city, Texas"
1600000US5157000,"Norfolk city, Virginia"
1600000US5167000,"Richmond city, Virginia"
1600000US5182000,"Virginia Beach city, Virginia"
1600000US5363000,"Seattle city, Washington"
1600000US5370000,"Tacoma city, Washington"
1600000US5374060,"Vancouver city, Washington"
1600000US5548000,"Madison city, Wisconsin"
1600000US5553000,"Milwaukee city, Wisconsin"
